X Coordinate	Y Coordinate	Time Spent	Image Viewed
1223.9569	285.8884	3048.0	1.0
1223.9569	285.8884	35.0	1.0
1223.9569	285.8884	34.0	1.0
1235.6863	268.6696	39.0	1.0
1225.6636	264.7031	44.0	1.0
1225.6636	264.7031	34.0	1.0
1220.014	264.6922	37.0	1.0
1218.1953	265.119	58.0	1.0
1218.5135	262.8733	37.0	1.0
1219.6815	266.3758	35.0	1.0
1227.4016	270.255	46.0	1.0
1229.5707	271.6182	35.0	1.0
1231.1017	273.2746	34.0	1.0
1226.5675	274.6182	35.0	1.0
1229.5791	275.5332	34.0	1.0
1181.5337	383.6434	33.0	1.0
1143.3105	447.109	34.0	1.0
1131.6351	467.7561	45.0	1.0
1120.359	463.7467	35.0	1.0
1109.704	458.3325	36.0	1.0
1092.4329	457.6204	36.0	1.0
1091.235	453.4192	35.0	1.0
1089.991	453.2463	36.0	1.0
1104.3523	453.6284	38.0	1.0
940.06	381.1572	36.0	1.0
887.097	386.8644	37.0	1.0
923.2568	396.0638	34.0	1.0
928.2632	388.2111	35.0	1.0
923.3551	385.3043	36.0	1.0
920.0365	378.9841	36.0	1.0
920.1582	380.8485	40.0	1.0
925.3801	379.3548	41.0	1.0
931.4174	379.1328	35.0	1.0
1322.019	168.7927	36.0	1.0
1460.9098	46.5936	36.0	1.0
1462.9989	97.0418	37.0	1.0
1450.5669	123.3364	35.0	1.0
1465.3956	138.2815	37.0	1.0
1457.3418	139.4086	34.0	1.0
981.1226	340.5713	39.0	1.0
921.7746	373.568	39.0	1.0
927.2877	356.7415	39.0	1.0
918.9352	369.2569	36.0	1.0
916.0477	358.7493	42.0	1.0
919.3454	342.1202	66.0	1.0
923.33	342.7168	47.0	1.0
924.2477	347.1537	47.0	1.0
928.1422	345.6725	45.0	1.0
922.1763	350.3506	35.0	1.0
920.7728	352.68	45.0	1.0
920.7728	352.68	36.0	1.0
922.407	354.1971	39.0	1.0
926.9865	328.3068	550.0	2.0
928.13	327.7886	62.0	2.0
927.7955	326.1279	58.0	2.0
931.3168	327.599	58.0	2.0
932.391	325.3795	57.0	2.0
1076.2703	273.197	63.0	2.0
1189.0999	199.6908	62.0	2.0
1210.21	224.5026	63.0	2.0
1209.5729	211.6865	59.0	2.0
1229.8837	216.6216	57.0	2.0
1435.8462	208.2179	58.0	2.0
1569.8866	238.4511	89.0	2.0
1569.8866	238.4511	61.0	2.0
1569.8866	238.4511	65.0	2.0
-1388.988	-2290.8647	63.0	2.0
1808.0916	224.3438	73.0	2.0
1813.4237	230.1153	63.0	2.0
1745.6888	160.7723	62.0	2.0
1737.3156	224.9929	63.0	2.0
1743.8162	228.5103	76.0	2.0
1731.4513	212.4122	65.0	2.0
1721.645	204.6279	62.0	2.0
1718.6389	200.0788	64.0	2.0
1714.4984	194.9968	71.0	2.0
1705.9902	188.307	62.0	2.0
1695.2307	189.0278	61.0	2.0
1108.8804	223.2322	84.0	2.0
1105.6956	219.8928	66.0	2.0
1112.7235	221.3958	63.0	2.0
1122.3186	229.9523	63.0	2.0
1135.4092	239.2645	75.0	2.0
1697.7631	249.1967	618.0	3.0
1684.0826	237.3881	91.0	3.0
1675.4348	240.1992	86.0	3.0
1547.5521	199.8165	88.0	3.0
1682.465	239.4644	87.0	3.0
1265.1393	279.8667	85.0	3.0
1265.1393	279.8667	89.0	3.0
1058.9601	234.3153	88.0	3.0
1099.9352	258.786	90.0	3.0
1082.892	252.0033	90.0	3.0
908.8888	214.7151	89.0	3.0
924.3936	224.0756	86.0	3.0
923.4133	219.9012	88.0	3.0
920.5745	212.4451	111.0	3.0
922.2015	209.6304	88.0	3.0
923.7908	206.5552	90.0	3.0
763.3984	252.0912	92.0	3.0
768.3995	229.6784	88.0	3.0
770.1842	226.7191	88.0	3.0
769.6054	217.9799	89.0	3.0
769.2457	198.372	106.0	3.0
768.9025	198.8718	194.0	3.0
769.1094	186.2344	480.0	4.0
778.6429	194.8908	111.0	4.0
778.6429	194.8908	120.0	4.0
1149.1047	317.2737	113.0	4.0
1092.5	289.0688	136.0	4.0
952.8426	236.5983	108.0	4.0
940.0558	248.0847	124.0	4.0
859.262	438.8064	115.0	4.0
849.5627	442.1265	111.0	4.0
852.5848	437.602	113.0	4.0
864.7379	432.2786	113.0	4.0
871.3611	426.1277	111.0	4.0
540.685	538.9181	114.0	4.0
560.0931	526.8041	116.0	4.0
553.0136	527.4053	116.0	4.0
548.2617	524.8839	125.0	4.0
554.2902	525.5865	113.0	4.0
577.6219	538.158	726.0	5.0
1021.6262	397.5111	135.0	5.0
968.7608	395.5768	139.0	5.0
1136.0157	268.3167	156.0	5.0
1215.445	198.938	136.0	5.0
1241.0526	194.6983	132.0	5.0
1237.821	203.1993	141.0	5.0
1237.821	203.1993	135.0	5.0
1216.182	199.1083	139.0	5.0
1210.2603	199.0628	135.0	5.0
1650.0121	7.2707	133.0	5.0
1562.7491	13.19	136.0	5.0
1230.3842	210.8586	141.0	5.0
1209.9314	189.4648	134.0	5.0
