X Coordinate	Y Coordinate	Time Spent	Image Viewed
861.3113	391.3057	3172	1.0
853.9863	382.057	3213	1.0
863.2565	373.8401	3254	1.0
863.5509	379.4846	3293	1.0
865.5086	382.0236	3325	1.0
866.4176	381.9232	3362	1.0
796.1875	220.4754	3401	1.0
796.1562	205.3882	3441	1.0
800.1202	196.0336	3478	1.0
795.72	198.8533	3510	1.0
775.5495	233.6745	3543	1.0
749.4685	282.0352	3579	1.0
629.6256	468.0933	3618	1.0
641.5908	470.7585	3666	1.0
641.6146	460.477	3709	1.0
641.6146	460.477	3746	1.0
674.6292	468.389	3788	1.0
683.0421	466.0368	3828	1.0
692.1114	460.6152	3869	1.0
866.9913	412.4434	3910	1.0
956.0039	285.4671	3942	1.0
961.7255	289.7332	3979	1.0
972.3474	280.6957	4020	1.0
972.2625	284.0368	4061	1.0
971.2614	284.7751	4103	1.0
962.1495	290.2029	4146	1.0
986.7554	273.9926	4187	1.0
1021.7498	268.4681	4228	1.0
1030.2987	268.8148	4268	1.0
1032.1189	267.739	4309	1.0
1034.9683	266.0244	4347	1.0
1034.2192	268.8008	4388	1.0
1027.6409	282.2461	4428	1.0
1024.2927	285.7567	4468	1.0
1021.6196	292.5417	4508	1.0
1018.0512	299.7194	4546	1.0
1015.963	305.8826	4588	1.0
1014.0355	309.6477	4628	1.0
1012.6293	314.5227	4670	1.0
1011.2828	325.1388	4714	1.0
1010.8682	332.4659	4756	1.0
1009.9835	338.9587	4795	1.0
1008.9408	344.1899	4842	1.0
1007.6145	349.7562	4880	1.0
1007.8502	354.1415	4922	1.0
1006.6631	362.2537	4963	1.0
1006.6631	362.2537	5004	1.0
1113.5215	443.6859	5045	1.0
1129.6669	440.3463	5086	1.0
1143.5747	439.3504	5145	1.0
752.6378	343.5511	12224	2.0
729.5273	350.5959	12286	2.0
704.3395	360.9066	12350	2.0
662.3038	394.9354	12412	2.0
649.3491	381.6867	12474	2.0
649.3313	388.56	12536	2.0
649.2529	394.8224	12604	2.0
665.2368	388.7651	12668	2.0
789.5981	322.297	12731	2.0
772.1537	299.2535	12800	2.0
779.2448	300.5615	12862	2.0
779.8747	297.1096	12926	2.0
781.0988	293.2979	12988	2.0
779.1254	290.5728	13053	2.0
778.8418	287.3409	13120	2.0
548.8242	347.3016	13192	2.0
549.2311	363.3877	13257	2.0
564.7454	371.0676	13323	2.0
562.8116	371.1905	13387	2.0
561.6815	368.4754	13454	2.0
799.2635	172.0897	13521	2.0
793.9797	65.8704	13587	2.0
800.6075	46.3229	13653	2.0
808.9566	43.3136	13716	2.0
811.1343	57.6509	13781	2.0
813.2803	63.3854	13846	2.0
818.7007	63.2542	13910	2.0
821.723	61.3762	13973	2.0
826.8484	65.6208	14037	2.0
829.7165	63.7192	14104	2.0
831.1096	66.1649	14170	2.0
220.7169	460.8958	14234	2.0
725.9466	297.9372	21242	3.0
725.9466	297.9372	21328	3.0
623.9623	424.6374	21417	3.0
647.9455	391.0246	21506	3.0
687.224	384.3929	21590	3.0
706.3718	363.088	21675	3.0
734.3035	298.6517	21767	3.0
780.8554	164.4017	21857	3.0
829.5464	168.3044	21942	3.0
983.7296	162.8972	22030	3.0
968.4641	165.4625	22118	3.0
967.6878	169.9129	22204	3.0
983.9185	178.3744	22293	3.0
992.9776	181.8886	22378	3.0
997.1266	187.1311	22462	3.0
1001.5554	191.9326	22548	3.0
1005.5233	191.8565	22634	3.0
1005.4499	191.506	22721	3.0
1007.7474	189.8188	22814	3.0
1004.916	188.3675	22899	3.0
1004.4609	186.1699	22985	3.0
732.6299	42.7295	23073	3.0
738.6902	43.946	23161	3.0
718.1412	223.285	30251	4.0
633.5872	340.8165	30361	4.0
625.6718	363.2973	30471	4.0
626.7537	358.5785	30582	4.0
656.957	190.9919	30692	4.0
666.8187	156.7201	30809	4.0
669.3072	146.5912	30921	4.0
664.8447	147.4002	31031	4.0
664.7476	149.4049	31141	4.0
631.9506	-37.3376	31253	4.0
612.9668	-11.2444	31363	4.0
604.535	-15.9409	31474	4.0
603.1943	-11.2385	31585	4.0
602.8287	-9.1528	31696	4.0
601.915	-8.5391	31813	4.0
603.369	-4.2474	31923	4.0
601.4968	-1.7394	32034	4.0
603.3441	2.0511	32145	4.0
604.4277	8.3785	32255	4.0
605.8162	13.3144	32366	4.0
607.4995	16.0073	32477	4.0
821.9998	411.8253	39261	5.0
786.1066	378.4351	39391	5.0
764.5353	363.8961	39522	5.0
747.3808	355.7234	39653	5.0
741.9576	368.9975	39785	5.0
743.1086	366.8721	39915	5.0
774.6968	260.4683	40046	5.0
782.0983	268.9248	40180	5.0
743.0406	633.9473	40314	5.0
718.2778	684.7768	40447	5.0
722.1003	677.2294	40582	5.0
722.1003	677.2294	40718	5.0
722.1003	677.2294	40863	5.0
722.1003	677.2294	41000	5.0
131.201	735.1872	41134	5.0
124.4187	732.1299	41270	5.0
124.4187	732.1299	41407	5.0
124.4187	732.1299	41545	5.0
