X Coordinate	Y Coordinate	Time Spent	Image Viewed
623.3981	354.382	3054.0	1.0
568.6824	329.5773	35.0	1.0
583.8115	370.8158	34.0	1.0
575.1978	364.3183	33.0	1.0
570.1526	338.5668	45.0	1.0
575.1302	353.5845	36.0	1.0
572.8399	360.2997	34.0	1.0
572.2678	356.3697	57.0	1.0
572.2678	356.3697	34.0	1.0
572.2678	356.3697	33.0	1.0
572.2678	356.3697	33.0	1.0
571.0031	360.8455	42.0	1.0
839.3931	472.4254	57.0	1.0
822.1863	421.798	35.0	1.0
777.5207	451.6855	36.0	1.0
754.9257	470.2192	34.0	1.0
744.7615	470.8198	42.0	1.0
724.6564	507.1701	44.0	1.0
698.4464	454.1407	37.0	1.0
712.3157	471.1317	35.0	1.0
720.4889	441.7472	33.0	1.0
722.329	436.8599	33.0	1.0
726.4056	435.2412	37.0	1.0
542.8669	291.8239	35.0	1.0
486.1884	275.4384	42.0	1.0
512.5347	264.7756	36.0	1.0
518.3827	281.1774	35.0	1.0
519.3651	273.5023	36.0	1.0
510.5436	266.3466	35.0	1.0
510.5436	266.3466	34.0	1.0
506.8048	267.6388	43.0	1.0
506.8048	267.6388	35.0	1.0
495.1845	264.0391	36.0	1.0
496.5522	264.7129	35.0	1.0
496.5522	264.7129	35.0	1.0
493.1667	264.9237	34.0	1.0
495.6983	262.8534	41.0	1.0
495.6983	262.8534	35.0	1.0
1096.8835	375.838	37.0	1.0
1069.2506	375.0048	35.0	1.0
1069.2506	375.0048	36.0	1.0
1080.9225	370.3931	41.0	1.0
1080.9225	370.3931	34.0	1.0
1085.4297	345.2408	35.0	1.0
1082.1951	312.4696	44.0	1.0
1077.7053	298.6884	41.0	1.0
1080.6442	288.9021	38.0	1.0
813.9108	213.0548	37.0	1.0
386.6037	161.4946	48.0	1.0
394.5338	166.1269	45.0	1.0
391.3394	166.4311	51.0	1.0
389.235	176.0562	39.0	1.0
667.8168	180.9243	546.0	2.0
727.7645	255.8969	60.0	2.0
743.8423	242.3313	62.0	2.0
744.6603	242.5787	86.0	2.0
740.9994	244.5384	62.0	2.0
735.6947	246.3246	64.0	2.0
529.1552	357.9402	63.0	2.0
340.1187	383.953	71.0	2.0
335.2928	376.0091	63.0	2.0
296.5384	407.0153	63.0	2.0
258.2859	384.6066	62.0	2.0
252.2967	380.2631	75.0	2.0
459.0971	333.3693	62.0	2.0
863.3839	221.0338	62.0	2.0
856.9554	234.9396	63.0	2.0
861.5696	237.954	73.0	2.0
853.796	203.5009	62.0	2.0
844.5779	179.3617	67.0	2.0
843.5562	164.2983	65.0	2.0
842.8651	159.5921	70.0	2.0
1236.4854	582.7091	63.0	2.0
1245.8889	558.0711	61.0	2.0
1241.447	561.3738	57.0	2.0
1244.9276	521.1157	61.0	2.0
1245.7466	509.4714	57.0	2.0
1171.9373	389.3167	57.0	2.0
712.4907	240.0367	59.0	2.0
712.468	245.8781	61.0	2.0
716.126	246.564	59.0	2.0
721.394	226.4123	59.0	2.0
733.6871	219.0464	61.0	2.0
791.3977	164.6978	58.0	2.0
460.4521	183.5928	569.0	3.0
650.5374	359.1562	88.0	3.0
642.2313	347.7702	85.0	3.0
641.2577	343.1014	85.0	3.0
651.4104	343.862	85.0	3.0
629.6025	200.9792	87.0	3.0
615.0277	185.0623	83.0	3.0
625.1335	162.2506	85.0	3.0
631.1567	145.232	85.0	3.0
313.8289	222.8337	90.0	3.0
344.1806	208.1675	83.0	3.0
355.2818	211.1669	103.0	3.0
663.7559	169.6767	89.0	3.0
654.7069	172.6332	85.0	3.0
646.9788	140.5569	101.0	3.0
647.1744	131.8758	85.0	3.0
649.6823	117.4085	89.0	3.0
647.0507	113.4958	87.0	3.0
864.4716	155.1921	87.0	3.0
968.9493	195.332	86.0	3.0
970.4202	192.7464	93.0	3.0
977.3154	191.3433	87.0	3.0
808.5463	431.8172	85.0	3.0
668.587	194.9307	641.0	4.0
657.6407	198.2613	113.0	4.0
663.7841	194.5791	112.0	4.0
662.1767	196.0193	116.0	4.0
656.6785	191.2008	110.0	4.0
652.8989	187.7857	109.0	4.0
360.2181	234.5983	131.0	4.0
209.4444	324.1554	110.0	4.0
472.9198	232.2316	132.0	4.0
592.5898	216.8112	110.0	4.0
663.3676	226.6563	112.0	4.0
871.8807	306.4907	108.0	4.0
1065.8556	376.1299	108.0	4.0
1285.9164	397.9454	108.0	4.0
676.5409	257.8318	232.0	4.0
631.692	265.0499	107.0	4.0
645.9781	125.2534	740.0	5.0
644.6921	135.8465	135.0	5.0
662.7538	271.0503	130.0	5.0
563.603	340.65	156.0	5.0
621.6774	443.9671	149.0	5.0
197.4025	589.2546	131.0	5.0
179.838	549.5448	145.0	5.0
1090.0077	300.5392	135.0	5.0
813.3064	206.6441	133.0	5.0
796.0823	232.9488	133.0	5.0
1239.4391	81.9754	136.0	5.0
1125.7532	161.4241	137.0	5.0
602.5922	369.7866	157.0	5.0
177.683	527.7413	132.0	5.0
